Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Whampoa,2024,2,25,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,26,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,27,0.2,0.2,0.2,0.2,-,-,-,-,-
Whampoa,2024,2,28,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,29,0,0,0,0,-,-,-,-,-
Changi,2024,2,1,0,0,0,0,    28.1,    31.9,    26.1,    17.2,    42.6
Changi,2024,2,2,0,0,0,0,    28.2,    31.5,    26.0,    16.0,    44.4
Changi,2024,2,3,0,0,0,0,    28.5,    32.6,    26.1,    15.5,    40.7
Changi,2024,2,4,0,0,0,0,    28.3,    32.7,    25.3,    14.7,    35.2
Changi,2024,2,5,0,0,0,0,    28.2,    32.7,    25.2,    14.9,    42.6
Changi,2024,2,6,10.6,6.4,10.4,10.6,    28.1,    32.9,    25.6,    12.6,    38.9
Changi,2024,2,7,0,0,0,0,    28.3,    32.6,    25.7,    14.1,    38.9
Changi,2024,2,8,0,0,0,0,    28.4,    33.1,    25.9,    12.9,    35.2
Changi,2024,2,9,0,0,0,0,    28.4,    32.6,    26.0,    13.7,    37.0
Changi,2024,2,10,5.4,2,3,4.6,    27.6,    32.3,    24.4,    15.4,    40.7
Changi,2024,2,11,16.2,7.2,11.2,15.8,    27.8,    31.8,    24.3,    17.2,    55.6
Changi,2024,2,12,14.2,5.4,9.4,10.8,    26.6,    30.2,    24.6,    14.9,    61.1
Changi,2024,2,13,4.4,1.8,2,2.2,    27.1,    30.1,    25.0,    17.0,    48.2
Changi,2024,2,14,2,1.2,1.2,1.6,    27.9,    31.7,    25.7,    16.5,    44.4
Changi,2024,2,15,6,5,5.2,5.2,    27.1,    30.6,    25.4,    15.7,    44.4
Changi,2024,2,16,0,0,0,0,    28.0,    31.8,    26.2,    18.2,    51.9
Changi,2024,2,17,0.2,0.2,0.2,0.2,    27.8,    31.4,    26.1,    14.9,    53.7
Changi,2024,2,18,0,0,0,0,    28.4,    32.3,    26.1,    15.4,    35.2
Changi,2024,2,19,0,0,0,0,    28.6,    32.5,    26.0,    15.2,    37.0
Changi,2024,2,20,0,0,0,0,    28.9,    33.0,    26.4,    14.9,    35.2
Changi,2024,2,21,0.2,0.2,0.2,0.2,    28.7,    33.4,    26.2,    13.3,    40.7
Changi,2024,2,22,0,0,0,0,    28.6,    32.2,    26.3,    12.1,    35.2
Changi,2024,2,23,0,0,0,0,    28.7,    32.3,    26.4,    16.3,    38.9
Changi,2024,2,24,0,0,0,0,    28.5,    31.9,    26.0,    16.6,    42.6
Changi,2024,2,25,0,0,0,0,    29.0,    33.2,    26.3,    17.2,    40.7
Changi,2024,2,26,0,0,0,0,    28.9,    32.9,    26.5,    20.5,    48.2
Changi,2024,2,27,1,1,1,1,    28.1,    30.9,    27.1,    14.9,    38.9
Changi,2024,2,28,0,0,0,0,    28.8,    32.6,    26.7,    19.8,    44.4
Changi,2024,2,29,0,0,0,0,    28.9,    33.4,    26.0,    17.7,    44.4
Seletar,2024,2,1,0,0,0,0,    28.0,    33.0,    25.9,    15.8,    38.9
Seletar,2024,2,2,0,0,0,0,    28.2,    32.8,    25.7,    14.8,    33.3
Seletar,2024,2,3,0,0,0,0,    28.4,    34.0,    25.6,    15.2,    35.2
Seletar,2024,2,4,0,0,0,0,    28.5,    33.3,    25.2,    10.7,    29.6
Seletar,2024,2,5,0,0,0,0,    28.4,    34.0,    24.8,    14.4,    37.0
Seletar,2024,2,6,52.6,43.8,52.4,52.6,    28.1,    33.7,    25.2,    10.0,    37.0
Seletar,2024,2,7,0,0,0,0,    28.2,    33.1,    25.6,    12.3,    33.3
Seletar,2024,2,8,0.8,0.8,0.8,0.8,    28.2,    33.7,    25.6,    10.1,    29.6
Seletar,2024,2,9,30.4,21,21.4,27,    27.4,    32.4,    25.1,    12.2,    40.7
Seletar,2024,2,10,9,7.6,8,8.8,    27.6,    32.6,    24.5,    12.9,    37.0
Seletar,2024,2,11,0.6,0.2,0.4,8.2,    27.9,    32.3,    25.3,    16.3,    46.3
Seletar,2024,2,12,5.2,4,4.2,5,    27.0,    29.7,    25.2,    15.2,    50.0
Seletar,2024,2,13,10.8,6,6,6.4,    26.8,    29.8,    24.6,    16.1,    44.4
Seletar,2024,2,14,8,2,2.4,2.8,    27.4,    32.3,    24.8,    14.4,    44.4
Seletar,2024,2,15,15.8,12.4,13.8,13.8,    27.0,    29.3,    25.5,    13.3,    44.4
Seletar,2024,2,16,0,0,0,0,    27.8,    32.1,    26.0,    18.1,    46.3
Seletar,2024,2,17,0,0,0,0,    27.8,    31.7,    25.4,    14.1,    42.6
Seletar,2024,2,18,0,0,0,0,    28.1,    32.1,    25.4,    13.9,    29.6
Seletar,2024,2,19,0,0,0,0,    28.6,    33.1,    25.8,    15.0,    33.3
Seletar,2024,2,20,0,0,0,0,    28.7,    33.4,    25.9,    13.1,    29.6
Seletar,2024,2,21,1.8,1.4,1.6,1.8,    28.0,    33.4,    25.9,    11.6,    33.3
Seletar,2024,2,22,0,0,0,0,    28.3,    33.2,    25.7,    10.6,    31.5
Seletar,2024,2,23,0,0,0,0,    28.4,    32.9,    25.8,    16.1,    35.2
Seletar,2024,2,24,0,0,0,0,    28.3,    31.9,    26.0,    15.2,    35.2
Seletar,2024,2,25,0,0,0,0,    28.7,    33.8,    25.4,    16.3,    40.7
Seletar,2024,2,26,0,0,0,0,    28.7,    33.6,    25.8,    17.9,    46.3
Seletar,2024,2,27,0,0,0,0,    28.2,    31.2,    26.6,    16.4,    38.9
Seletar,2024,2,28,0,0,0,0,    28.7,    32.9,    26.1,    19.5,    42.6
Seletar,2024,2,29,0,0,0,0,    29.1,    34.2,    25.7,    16.4,    37.0
Pasir Ris (West),2024,2,1,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,2,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,3,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,4,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,5,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,6,11.2,8,10.2,11.2,-,-,-,-,-
Pasir Ris (West),2024,2,7,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,8,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,9,5.6,5.4,5.4,5.6,-,-,-,-,-
Pasir Ris (West),2024,2,10,6.6,2.8,3,5.8,-,-,-,-,-
Pasir Ris (West),2024,2,11,12.8,9.2,11,12.2,-,-,-,-,-
Pasir Ris (West),2024,2,12,6,1.4,2.2,10.8,-,-,-,-,-
Pasir Ris (West),2024,2,13,17.2,16,16.2,16.4,-,-,-,-,-
Pasir Ris (West),2024,2,14,2.2,0.8,0.8,1,-,-,-,-,-
Pasir Ris (West),2024,2,15,9.6,7,7.4,7.8,-,-,-,-,-
Pasir Ris (West),2024,2,16,0.2,0.2,0.2,0.2,-,-,-,-,-
Pasir Ris (West),2024,2,17,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,18,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,19,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,20,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,21,0.8,0.4,0.4,0.8,-,-,-,-,-
Pasir Ris (West),2024,2,22,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,23,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,24,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,25,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,26,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,27,2,1.4,1.4,1.8,-,-,-,-,-
Pasir Ris (West),2024,2,28,0,0,0,0,-,-,-,-,-
Pasir Ris (West),2024,2,29,0,0,0,0,-,-,-,-,-
Jurong Pier,2024,2,1,0,0,0,0,-,-,-,-,-
Jurong Pier,2024,2,2,16,10,13.4,16,-,-,-,-,-
Jurong Pier,2024,2,3,33.6,22.8,32.4,33.2,-,-,-,-,-
Jurong Pier,2024,2,4,0,0,0,0,-,-,-,-,-
Jurong Pier,2024,2,5,2.6,2.4,2.6,2.6,-,-,-,-,-
Jurong Pier,2024,2,6,0,0,0,0,-,-,-,-,-
Jurong Pier,2024,2,7,7.2,6.8,7,7.2,-,-,-,-,-
Jurong Pier,2024,2,8,0,0,0,0,-,-,-,-,-
Jurong Pier,2024,2,9,63.6,34.4,59.8,61.2,-,-,-,-,-
Jurong Pier,2024,2,10,7.4,3.6,6.8,7.2,-,-,-,-,-
Jurong Pier,2024,2,11,0.6,0.6,0.8,6.6,-,-,-,-,-
Jurong Pier,2024,2,12,4,3.2,3.2,3.2,-,-,-,-,-
Jurong Pier,2024,2,13,6,3,3.2,4,-,-,-,-,-
Jurong Pier,2024,2,14,17.6,5.2,5.2,6,-,-,-,-,-
Jurong Pier,2024,2,15,0.8,0.4,0.4,0.4,-,-,-,-,-
Jurong Pier,2024,2,16,0,0,0,0,-,-,-,-,-
Jurong Pier,2024,2,17,4.6,4.4,4.4,4.6,-,-,-,-,-
Jurong Pier,2024,2,18,0,0,0,0,-,-,-,-,-
Jurong Pier,2024,2,19,0.4,0.4,0.4,0.4,-,-,-,-,-
Jurong Pier,2024,2,20,0,0,0,0,-,-,-,-,-
Jurong Pier,2024,2,21,0,0,0,0,-,-,-,-,-
Jurong Pier,2024,2,22,0.2,0.2,0.2,0.2,-,-,-,-,-
Jurong Pier,2024,2,23,25.8,13.6,25.4,25.8,-,-,-,-,-
Jurong Pier,2024,2,24,0,0,0,0,-,-,-,-,-
Jurong Pier,2024,2,25,0,0,0,0,-,-,-,-,-
Jurong Pier,2024,2,26,0,0,0,0,-,-,-,-,-
Jurong Pier,2024,2,27,0.6,0.4,0.4,0.4,-,-,-,-,-
Jurong Pier,2024,2,28,0,0,0,0,-,-,-,-,-
Jurong Pier,2024,2,29,0,0,0,0,-,-,-,-,-
Ulu Pandan,2024,2,1,0,0,0,0,-,-,-,-,-
Ulu Pandan,2024,2,2,7.4,5,5.2,5.8,-,-,-,-,-
Ulu Pandan,2024,2,3,56.2,42,53.2,55.2,-,-,-,-,-
Ulu Pandan,2024,2,4,0,0,0,0,-,-,-,-,-
Ulu Pandan,2024,2,5,0,0,0,0,-,-,-,-,-
Ulu Pandan,2024,2,6,0,0,0,0,-,-,-,-,-
Ulu Pandan,2024,2,7,0.2,0.2,0.2,0.2,-,-,-,-,-
Ulu Pandan,2024,2,8,17.6,14.8,17.2,17.6,-,-,-,-,-
Ulu Pandan,2024,2,9,17,9.6,14.6,17,-,-,-,-,-
Ulu Pandan,2024,2,10,3.2,1.8,2.6,3.2,-,-,-,-,-
Ulu Pandan,2024,2,11,0.4,0.2,0.6,1.4,-,-,-,-,-
Ulu Pandan,2024,2,12,3,1.8,1.8,1.8,-,-,-,-,-
Ulu Pandan,2024,2,13,5.2,1.8,2,2.6,-,-,-,-,-
Ulu Pandan,2024,2,14,14.6,4.4,5,5.6,-,-,-,-,-
Ulu Pandan,2024,2,15,2.4,1.6,2,2.4,-,-,-,-,-
Ulu Pandan,2024,2,16,0,0,0,0,-,-,-,-,-
Ulu Pandan,2024,2,17,0.4,0.2,0.4,0.4,-,-,-,-,-
Ulu Pandan,2024,2,18,0,0,0,0,-,-,-,-,-
Ulu Pandan,2024,2,19,0,0,0,0,-,-,-,-,-
Ulu Pandan,2024,2,20,2,2,2,2,-,-,-,-,-
Ulu Pandan,2024,2,21,4.2,4,4,4,-,-,-,-,-
Ulu Pandan,2024,2,22,4.4,3.4,3.6,4.4,-,-,-,-,-
Ulu Pandan,2024,2,23,6.8,6.6,6.6,6.6,-,-,-,-,-
Ulu Pandan,2024,2,24,0.2,0.2,0.2,0.2,-,-,-,-,-
Ulu Pandan,2024,2,25,0,0,0,0,-,-,-,-,-
Ulu Pandan,2024,2,26,0,0,0,0,-,-,-,-,-
Ulu Pandan,2024,2,27,1.4,0.6,1,1,-,-,-,-,-
Ulu Pandan,2024,2,28,0,0,0,0,-,-,-,-,-
Ulu Pandan,2024,2,29,0,0,0,0,-,-,-,-,-
Mandai,2024,2,1,0,0,0,0,-,-,-,-,-
Mandai,2024,2,2,2.2,2,2.2,2.2,-,-,-,-,-
Mandai,2024,2,3,5.6,5.4,5.4,5.4,-,-,-,-,-
Mandai,2024,2,4,0,0,0,0,-,-,-,-,-
Mandai,2024,2,5,0,0,0,0,-,-,-,-,-
Mandai,2024,2,6,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2024,2,7,0,0,0,0,-,-,-,-,-
Mandai,2024,2,8,61.4,39.8,56.2,61.4,-,-,-,-,-
Mandai,2024,2,9,21.8,10.8,15.4,21.8,-,-,-,-,-
Mandai,2024,2,10,12.8,11,12.8,12.8,-,-,-,-,-
Mandai,2024,2,11,0,0,0,2,-,-,-,-,-
Mandai,2024,2,12,6.6,3,3,3.6,-,-,-,-,-
Mandai,2024,2,13,7,2.8,3.4,3.4,-,-,-,-,-
Mandai,2024,2,14,12.6,4.6,4.8,5,-,-,-,-,-
Mandai,2024,2,15,2.4,1.6,2.2,2.4,-,-,-,-,-
Mandai,2024,2,16,0,0,0,0,-,-,-,-,-
Mandai,2024,2,17,2.2,1.4,1.4,2,-,-,-,-,-
Mandai,2024,2,18,0,0,0,0,-,-,-,-,-
Mandai,2024,2,19,0,0,0,0,-,-,-,-,-
Mandai,2024,2,20,8.4,7.6,8.2,8.4,-,-,-,-,-
Mandai,2024,2,21,21.6,19,21.2,21.6,-,-,-,-,-
Mandai,2024,2,22,0,0,0,0,-,-,-,-,-
Mandai,2024,2,23,0,0,0,0,-,-,-,-,-
Mandai,2024,2,24,0,0,0,0,-,-,-,-,-
Mandai,2024,2,25,0,0,0,0,-,-,-,-,-
Mandai,2024,2,26,0,0,0,0,-,-,-,-,-
Mandai,2024,2,27,0.4,0.2,0.2,0.4,-,-,-,-,-
Mandai,2024,2,28,0,0,0,0,-,-,-,-,-
Mandai,2024,2,29,0,0,0,0,-,-,-,-,-
Tai Seng,2024,2,1,0,0,0,0,    28.2,    31.8,    26.2,    14.3,    37.4
Tai Seng,2024,2,2,0.6,0.6,0.6,0.6,    28.3,    31.5,    26.3,    13.4,    37.4
Tai Seng,2024,2,3,0,0,0,0,    28.5,    32.9,    26.3,    12.9,    40.0
Tai Seng,2024,2,4,0,0,0,0,    28.7,    33.0,    26.3,    11.4,    29.4
Tai Seng,2024,2,5,0,0,0,0,    28.6,    32.4,    26.0,    14.0,    39.3
Tai Seng,2024,2,6,31,29,30.6,31,    28.3,    32.9,    25.6,    10.4,    34.6
Tai Seng,2024,2,7,0.2,0.2,0.2,0.2,    28.6,    32.2,    26.7,    12.6,    35.9
Tai Seng,2024,2,8,1.8,1,1.6,1.8,    28.5,    32.8,    26.6,     9.9,    29.4
Tai Seng,2024,2,9,7,4.8,5.4,5.4,    27.8,    32.4,    26.1,    12.0,    33.2
Tai Seng,2024,2,10,12.8,5.4,8.2,11.8,    27.8,    32.0,    25.1,    13.2,    35.0
Tai Seng,2024,2,11,9.2,7.4,9,9,    28.0,    31.9,    24.9,    15.6,    46.5
Tai Seng,2024,2,12,5.2,1.6,1.8,9,    27.0,    29.2,    25.5,    13.7,    45.4
Tai Seng,2024,2,13,12.2,9.8,10.2,10.4,    27.1,    29.5,    24.3,    15.0,    46.5
Tai Seng,2024,2,14,0.8,0.4,0.4,0.4,    28.0,    31.6,    25.7,    13.2,    48.2
Tai Seng,2024,2,15,9.2,7.8,7.8,8.2,    27.4,    29.7,    25.0,    13.5,    40.7
Tai Seng,2024,2,16,1.2,1.2,1.2,1.2,    28.0,    31.2,    26.7,    16.0,    44.6
Tai Seng,2024,2,17,0,0,0,0,    28.1,    31.0,    26.3,    13.5,    40.7
Tai Seng,2024,2,18,0,0,0,0,    28.5,    32.5,    26.2,    12.7,    32.8
Tai Seng,2024,2,19,0,0,0,0,    28.8,    32.9,    26.5,    13.0,    35.2
Tai Seng,2024,2,20,0,0,0,0,    29.0,    32.9,    26.6,    12.3,    29.1
Tai Seng,2024,2,21,17.6,17.4,17.6,17.6,    28.5,    33.1,    25.2,    11.1,    30.2
Tai Seng,2024,2,22,0,0,0,0,    28.6,    33.0,    26.4,     9.3,    27.0
Tai Seng,2024,2,23,0,0,0,0,    28.5,    31.9,    26.4,    13.7,    34.3
Tai Seng,2024,2,24,0,0,0,0,    28.5,    32.1,    26.9,    14.1,    35.6
Tai Seng,2024,2,25,0,0,0,0,    28.8,    32.6,    26.4,    14.4,    35.6
Tai Seng,2024,2,26,0,0,0,0,    28.8,    32.2,    26.6,    15.7,    42.0
Tai Seng,2024,2,27,0.2,0.2,0.2,0.2,    28.4,    30.5,    27.2,    14.3,    35.6
Tai Seng,2024,2,28,0,0,0,0,    28.8,    32.1,    26.9,    16.4,    41.1
Tai Seng,2024,2,29,0,0,0,0,    29.3,    33.8,    27.0,    16.0,    41.5
Clementi,2024,2,1,0,0,0,0,    28.1,    32.5,    26.0,     7.3,    28.9
Clementi,2024,2,2,3.6,3.6,3.6,3.6,    27.7,    32.7,    25.9,     5.8,    34.6
Clementi,2024,2,3,55.8,38.8,53.8,54.6,    27.2,    33.8,    22.5,     6.5,    32.4
Clementi,2024,2,4,0,0,0,0,    28.2,    33.6,    24.9,     4.8,    24.8
Clementi,2024,2,5,0,0,0,0,    28.4,    34.1,    25.2,     6.1,    29.4
Clementi,2024,2,6,0,0,0,0,    28.3,    33.3,    25.3,     4.9,    22.0
Clementi,2024,2,7,0,0,0,0,    28.0,    32.6,    25.6,     5.6,    24.8
Clementi,2024,2,8,4.4,2.8,3.8,4.4,    27.8,    33.1,    25.8,     4.8,    26.3
Clementi,2024,2,9,27.2,15.4,24.2,27.2,    27.3,    32.8,    24.0,     5.4,    27.0
Clementi,2024,2,10,4.2,4,4.2,4.2,    27.6,    32.2,    24.5,     7.3,    30.9
Clementi,2024,2,11,0.4,0.2,2.6,4.2,    27.8,    32.3,    24.9,     7.5,    36.7
Clementi,2024,2,12,4,1.6,1.6,3,    26.6,    29.5,    24.3,     6.5,    38.2
Clementi,2024,2,13,10,6.4,6.4,7,    26.5,    30.0,    24.4,     7.3,    58.7
Clementi,2024,2,14,10.2,4,5.2,5.2,    27.1,    31.2,    24.8,     6.3,    32.4
Clementi,2024,2,15,4.4,2.4,3.6,4,    26.9,    29.9,    25.5,     6.4,    39.3
Clementi,2024,2,16,0,0,0,0,    27.9,    31.4,    26.1,     8.2,    41.9
Clementi,2024,2,17,0,0,0,0,    27.6,    31.2,    25.4,     6.8,    30.9
Clementi,2024,2,18,0,0,0,0,    28.1,    32.8,    25.4,     6.6,    25.9
Clementi,2024,2,19,0,0,0,0,    28.5,    33.7,    25.8,     7.1,    28.2
Clementi,2024,2,20,1.2,1.2,1.2,1.2,    28.6,    33.8,    25.9,     5.8,    24.1
Clementi,2024,2,21,7.8,7.8,7.8,7.8,    28.0,    34.4,    25.6,     4.8,    20.9
Clementi,2024,2,22,27.8,15,17.2,26.4,    27.7,    33.4,    24.1,     4.1,    28.2
Clementi,2024,2,23,0.6,0.6,0.6,0.6,    28.0,    32.4,    25.6,     6.3,    28.9
Clementi,2024,2,24,0.4,0.4,0.4,0.4,    28.1,    31.5,    26.0,     6.6,    27.4
Clementi,2024,2,25,0,0,0,0,    28.6,    33.4,    25.6,     8.4,    30.2
Clementi,2024,2,26,0,0,0,0,    28.4,    33.0,    26.2,     8.9,    35.2
Clementi,2024,2,27,1.4,0.8,0.8,1.2,    27.8,    30.4,    26.7,     7.0,    31.3
Clementi,2024,2,28,0,0,0,0,    28.4,    32.2,    26.2,     8.4,    35.9
Clementi,2024,2,29,0,0,0,0,    29.0,    34.2,    25.6,     7.3,    35.0
Sentosa Island,2024,2,1,0,0,0,0,    28.5,    32.8,    26.5,     5.0,    23.0
Sentosa Island,2024,2,2,15.2,7.8,8.4,8.6,    27.9,    33.7,    25.1,     4.7,    24.8
Sentosa Island,2024,2,3,19,14.2,17.2,18.6,    27.9,    35.1,    24.1,     5.8,    33.2
Sentosa Island,2024,2,4,0,0,0,0,    28.9,    34.0,    25.1,     6.3,    26.7
Sentosa Island,2024,2,5,0,0,0,0,    29.2,    34.9,    25.7,     4.6,    26.3
Sentosa Island,2024,2,6,0,0,0,0,    28.8,    34.1,    26.0,     4.6,    22.6
Sentosa Island,2024,2,7,3.2,3.2,3.2,3.2,    28.5,    33.4,    26.1,     5.0,    23.3
Sentosa Island,2024,2,8,0,0,0,0,    28.3,    32.3,    26.1,     5.3,    24.4
Sentosa Island,2024,2,9,27.4,19,21.6,23.6,    27.7,    32.0,    24.7,     5.1,    60.7
Sentosa Island,2024,2,10,10.4,6.4,8.2,9.8,    28.2,    33.0,    24.8,     5.5,    48.5
Sentosa Island,2024,2,11,3.6,2.8,3.2,9.2,    28.4,    33.8,    24.8,     7.1,    33.2
Sentosa Island,2024,2,12,3.4,1,1.4,3.4,    27.0,    29.3,    25.6,     6.3,    30.9
Sentosa Island,2024,2,13,5.8,4.6,5.6,5.6,    27.5,    30.5,    25.4,     5.7,    31.7
Sentosa Island,2024,2,14,1,0.6,0.6,0.6,    28.4,    32.4,    26.6,     5.6,    43.9
Sentosa Island,2024,2,15,3.8,3.4,3.6,3.8,    27.5,    29.7,    25.6,     4.9,    28.2
Sentosa Island,2024,2,16,0,0,0,0,    28.8,    33.3,    26.6,     5.6,    31.3
Sentosa Island,2024,2,17,0,0,0,0,    28.6,    33.3,    26.6,     5.2,    25.6
Sentosa Island,2024,2,18,0,0,0,0,    28.9,    33.0,    26.5,     5.1,    23.0
Sentosa Island,2024,2,19,0,0,0,0,    29.1,    32.7,    26.8,     5.3,    24.4
Sentosa Island,2024,2,20,0.6,0.2,0.4,0.6,    28.8,    33.0,    26.7,     5.9,    26.7
Sentosa Island,2024,2,21,0,0,0,0,    28.8,    33.4,    26.8,     5.1,    24.1
Sentosa Island,2024,2,22,0,0,0,0,    28.8,    32.7,    26.8,     5.0,    23.7
Sentosa Island,2024,2,23,0,0,0,0,    28.9,    32.8,    27.0,     4.8,    20.9
Sentosa Island,2024,2,24,0,0,0,0,    29.0,    31.9,    26.8,     4.5,    26.7
Sentosa Island,2024,2,25,0,0,0,0,    29.5,    34.8,    26.7,     5.4,    26.7
Sentosa Island,2024,2,26,0,0,0,0,    29.4,    33.9,    27.1,     6.4,    29.1
Sentosa Island,2024,2,27,3,2.4,2.6,2.6,    28.2,    31.5,    26.4,     5.2,    26.7
Sentosa Island,2024,2,28,0,0,0,0,    29.4,    33.8,    27.1,     5.9,    30.2
Sentosa Island,2024,2,29,0,0,0,0,    29.9,    35.0,    26.7,     5.2,    28.5
Bukit Panjang,2024,2,1,0,0,0,0,-,-,-,-,-
Bukit Panjang,2024,2,2,14.6,7.4,14.2,14.4,-,-,-,-,-
Bukit Panjang,2024,2,3,47.4,32.6,42.4,47.2,-,-,-,-,-
Bukit Panjang,2024,2,4,0.2,0.2,0.2,0.2,-,-,-,-,-
Bukit Panjang,2024,2,5,0,0,0,0,-,-,-,-,-
Bukit Panjang,2024,2,6,1,1,1,1,-,-,-,-,-
Bukit Panjang,2024,2,7,0,0,0,0,-,-,-,-,-
Bukit Panjang,2024,2,8,17.8,10.6,16.4,17.8,-,-,-,-,-
Bukit Panjang,2024,2,9,15.6,7,12.6,15.6,-,-,-,-,-
Bukit Panjang,2024,2,10,10.4,5.4,10.2,10.4,-,-,-,-,-
Bukit Panjang,2024,2,11,0,0,0.2,5.2,-,-,-,-,-
Bukit Panjang,2024,2,12,6.4,3,3,3.4,-,-,-,-,-
Bukit Panjang,2024,2,13,7.4,2,2.2,3.8,-,-,-,-,-
Bukit Panjang,2024,2,14,15.4,9.2,9.2,9.2,-,-,-,-,-
Bukit Panjang,2024,2,15,2.4,1.2,1.4,1.8,-,-,-,-,-
Bukit Panjang,2024,2,16,0,0,0,0,-,-,-,-,-
Bukit Panjang,2024,2,17,11.4,10.6,11.4,11.4,-,-,-,-,-
Bukit Panjang,2024,2,18,0,0,0,0,-,-,-,-,-
Bukit Panjang,2024,2,19,0,0,0,0,-,-,-,-,-
Bukit Panjang,2024,2,20,8.8,5.8,6,6.2,-,-,-,-,-
Bukit Panjang,2024,2,21,9.2,9.2,9.2,9.2,-,-,-,-,-
Bukit Panjang,2024,2,22,2.8,2.6,2.8,2.8,-,-,-,-,-
Bukit Panjang,2024,2,23,0,0,0,0,-,-,-,-,-
Bukit Panjang,2024,2,24,0.6,0.4,0.4,0.6,-,-,-,-,-
Bukit Panjang,2024,2,25,0,0,0,0,-,-,-,-,-
Bukit Panjang,2024,2,26,0,0,0,0,-,-,-,-,-
Bukit Panjang,2024,2,27,2.2,1,1.2,1.2,-,-,-,-,-
Bukit Panjang,2024,2,28,0,0,0,0,-,-,-,-,-
Bukit Panjang,2024,2,29,0,0,0,0,-,-,-,-,-
Kranji Reservoir,2024,2,1,0,0,0,0,-,-,-,-,-
Kranji Reservoir,2024,2,2,29.4,18.4,19,25.8,-,-,-,-,-
Kranji Reservoir,2024,2,3,16,15.8,16,16,-,-,-,-,-
Kranji Reservoir,2024,2,4,0,0,0,0,-,-,-,-,-
Kranji Reservoir,2024,2,5,0,0,0,0,-,-,-,-,-
Kranji Reservoir,2024,2,6,2,2,2,2,-,-,-,-,-
Kranji Reservoir,2024,2,7,0,0,0,0,-,-,-,-,-
Kranji Reservoir,2024,2,8,33,24,29.6,33,-,-,-,-,-
Kranji Reservoir,2024,2,9,9.4,3.8,4.6,8.2,-,-,-,-,-
