Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sembawang,2024,2,21,10.3,8.8,9,10.3,    28.1,    34.0,    25.2,-,-
Sembawang,2024,2,22,2.2,2.2,2.2,2.2,    28.4,    33.1,    25.8,-,-
Sembawang,2024,2,23,0,0,0,0,    28.4,    32.3,    25.8,-,-
Sembawang,2024,2,24,0,0,0,0,    28.4,    32.0,    25.9,-,-
Sembawang,2024,2,25,0,0,0,0,    28.9,    34.0,    25.6,-,-
Sembawang,2024,2,26,0,0,0,0,    28.8,    32.9,    26.1,-,-
Sembawang,2024,2,27,0,0,0,0,    28.3,    31.1,    26.9,-,-
Sembawang,2024,2,28,0,0,0,0,    28.7,    32.6,    26.4,-,-
Sembawang,2024,2,29,0,0,0,0,    29.2,    33.9,    25.8,-,-
Punggol,2024,2,1,0,0,0,0,-,-,-,-,-
Punggol,2024,2,2,0,0,0,0,-,-,-,-,-
Punggol,2024,2,3,0,0,0,0,-,-,-,-,-
Punggol,2024,2,4,0,0,0,0,-,-,-,-,-
Punggol,2024,2,5,0,0,0,0,-,-,-,-,-
Punggol,2024,2,6,37.8,29.6,37.2,37.8,-,-,-,-,-
Punggol,2024,2,7,0,0,0,0,-,-,-,-,-
Punggol,2024,2,8,0,0,0,0,-,-,-,-,-
Punggol,2024,2,9,30.4,13.8,21.8,30.2,-,-,-,-,-
Punggol,2024,2,10,13.2,9.2,12,13,-,-,-,-,-
Punggol,2024,2,11,8.2,6.4,8,13,-,-,-,-,-
Punggol,2024,2,12,1.8,0.4,0.6,8,-,-,-,-,-
Punggol,2024,2,13,9.6,6,6.2,7,-,-,-,-,-
Punggol,2024,2,14,6.4,2.2,3.4,3.4,-,-,-,-,-
Punggol,2024,2,15,11.6,7.2,8.6,8.6,-,-,-,-,-
Punggol,2024,2,16,0,0,0,0,-,-,-,-,-
Punggol,2024,2,17,0,0,0,0,-,-,-,-,-
Punggol,2024,2,18,0,0,0,0,-,-,-,-,-
Punggol,2024,2,19,0,0,0,0,-,-,-,-,-
Punggol,2024,2,20,0,0,0,0,-,-,-,-,-
Punggol,2024,2,21,15.6,5.8,7.8,11.2,-,-,-,-,-
Punggol,2024,2,22,0,0,0,0,-,-,-,-,-
Punggol,2024,2,23,0,0,0,0,-,-,-,-,-
Punggol,2024,2,24,0,0,0,0,-,-,-,-,-
Punggol,2024,2,25,0,0,0,0,-,-,-,-,-
Punggol,2024,2,26,0,0,0,0,-,-,-,-,-
Punggol,2024,2,27,0.8,0.8,0.8,0.8,-,-,-,-,-
Punggol,2024,2,28,0,0,0,0,-,-,-,-,-
Punggol,2024,2,29,0,0,0,0,-,-,-,-,-
Simei,2024,2,1,0,0,0,0,-,-,-,-,-
Simei,2024,2,2,0,0,0,0,-,-,-,-,-
Simei,2024,2,3,0,0,0,0,-,-,-,-,-
Simei,2024,2,4,0,0,0,0,-,-,-,-,-
Simei,2024,2,5,0,0,0,0,-,-,-,-,-
Simei,2024,2,6,22.2,17.4,21.4,22.2,-,-,-,-,-
Simei,2024,2,7,0,0,0,0,-,-,-,-,-
Simei,2024,2,8,0,0,0,0,-,-,-,-,-
Simei,2024,2,9,4.6,4.2,4.6,4.6,-,-,-,-,-
Simei,2024,2,10,5.4,1.8,3,4.8,-,-,-,-,-
Simei,2024,2,11,12.8,6.8,9.8,11.8,-,-,-,-,-
Simei,2024,2,12,7.2,2.4,3.2,7.4,-,-,-,-,-
Simei,2024,2,13,12.8,9.8,10.2,10.4,-,-,-,-,-
Simei,2024,2,14,0.8,0.2,0.2,0.4,-,-,-,-,-
Simei,2024,2,15,10,9,9,9.4,-,-,-,-,-
Simei,2024,2,16,0,0,0,0,-,-,-,-,-
Simei,2024,2,17,0,0,0,0,-,-,-,-,-
Simei,2024,2,18,0,0,0,0,-,-,-,-,-
Simei,2024,2,19,0,0,0,0,-,-,-,-,-
Simei,2024,2,20,0,0,0,0,-,-,-,-,-
Simei,2024,2,21,0,0,0,0,-,-,-,-,-
Simei,2024,2,22,0.6,0.4,0.4,0.4,-,-,-,-,-
Simei,2024,2,23,0,0,0,0,-,-,-,-,-
Simei,2024,2,24,0,0,0,0,-,-,-,-,-
Simei,2024,2,25,0,0,0,0,-,-,-,-,-
Simei,2024,2,26,0,0,0,0,-,-,-,-,-
Simei,2024,2,27,1.6,0.8,0.8,0.8,-,-,-,-,-
Simei,2024,2,28,0,0,0,0,-,-,-,-,-
Simei,2024,2,29,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,1,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,2,16.2,15.2,16.2,16.2,-,-,-,-,-
Toa Payoh,2024,2,3,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,4,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,5,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,6,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,7,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,8,5,3.2,4.2,5,-,-,-,-,-
Toa Payoh,2024,2,9,18.4,10,15.2,18,-,-,-,-,-
Toa Payoh,2024,2,10,23.6,18.4,22.8,23.2,-,-,-,-,-
Toa Payoh,2024,2,11,3.8,3,3.6,23.4,-,-,-,-,-
Toa Payoh,2024,2,12,4.8,2.8,2.8,4.2,-,-,-,-,-
Toa Payoh,2024,2,13,12,7.8,8.4,9.4,-,-,-,-,-
Toa Payoh,2024,2,14,1.4,0.6,0.6,0.6,-,-,-,-,-
Toa Payoh,2024,2,15,11.6,9.4,10,10.4,-,-,-,-,-
Toa Payoh,2024,2,16,0.6,0.4,0.4,0.4,-,-,-,-,-
Toa Payoh,2024,2,17,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,18,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,19,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,20,1.8,1.8,1.8,1.8,-,-,-,-,-
Toa Payoh,2024,2,21,6,5.8,6,6,-,-,-,-,-
Toa Payoh,2024,2,22,0.2,0.2,0.2,0.2,-,-,-,-,-
Toa Payoh,2024,2,23,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,24,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,25,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,26,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,27,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,28,0,0,0,0,-,-,-,-,-
Toa Payoh,2024,2,29,0,0,0,0,-,-,-,-,-
Tuas,2024,2,1,0.8,0.6,0.6,0.8,-,-,-,-,-
Tuas,2024,2,2,16.8,10.2,14.6,16.2,-,-,-,-,-
Tuas,2024,2,3,13.4,8,11.6,13.4,-,-,-,-,-
Tuas,2024,2,4,0,0,0,0,-,-,-,-,-
Tuas,2024,2,5,0,0,0,0,-,-,-,-,-
Tuas,2024,2,6,0,0,0,0,-,-,-,-,-
Tuas,2024,2,7,4.2,3.6,4,4.2,-,-,-,-,-
Tuas,2024,2,8,1,1,1,1,-,-,-,-,-
Tuas,2024,2,9,6.4,2.8,5.4,6,-,-,-,-,-
Tuas,2024,2,10,11.6,10.4,11.6,11.6,-,-,-,-,-
Tuas,2024,2,11,0.2,0.2,0.8,11.6,-,-,-,-,-
Tuas,2024,2,12,2.4,1.8,1.8,2,-,-,-,-,-
Tuas,2024,2,13,6.8,2.4,4.6,5.2,-,-,-,-,-
Tuas,2024,2,14,13.6,4.2,4.2,7.8,-,-,-,-,-
Tuas,2024,2,15,0.6,0.4,0.4,0.6,-,-,-,-,-
Tuas,2024,2,16,0,0,0,0,-,-,-,-,-
Tuas,2024,2,17,0,0,0,0,-,-,-,-,-
Tuas,2024,2,18,9.2,8.4,9,9.2,-,-,-,-,-
Tuas,2024,2,19,1.2,0.6,1,1.2,-,-,-,-,-
Tuas,2024,2,20,0,0,0,0,-,-,-,-,-
Tuas,2024,2,21,0.6,0.6,0.6,0.6,-,-,-,-,-
Tuas,2024,2,22,4.8,4.8,4.8,4.8,-,-,-,-,-
Tuas,2024,2,23,2,1.2,1.2,2,-,-,-,-,-
Tuas,2024,2,24,0,0,0,0,-,-,-,-,-
Tuas,2024,2,25,0,0,0,0,-,-,-,-,-
Tuas,2024,2,26,0,0,0,0,-,-,-,-,-
Tuas,2024,2,27,0.8,0.8,0.8,0.8,-,-,-,-,-
Tuas,2024,2,28,0,0,0,0,-,-,-,-,-
Tuas,2024,2,29,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,1,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,2,17.8,8.8,11.6,16.8,-,-,-,-,-
Bukit Timah,2024,2,3,15.4,11.4,11.8,14.8,-,-,-,-,-
Bukit Timah,2024,2,4,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,5,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,6,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,7,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,8,0.8,0.8,0.8,0.8,-,-,-,-,-
Bukit Timah,2024,2,9,33,19.8,30.4,33,-,-,-,-,-
Bukit Timah,2024,2,10,23.2,21.6,22.8,23.2,-,-,-,-,-
Bukit Timah,2024,2,11,1.8,1.2,1.8,23.2,-,-,-,-,-
Bukit Timah,2024,2,12,3.4,2.4,2.6,3.4,-,-,-,-,-
Bukit Timah,2024,2,13,8,4.8,5,6.2,-,-,-,-,-
Bukit Timah,2024,2,14,1.4,0.6,0.6,0.6,-,-,-,-,-
Bukit Timah,2024,2,15,7.8,6.2,6.4,7.2,-,-,-,-,-
Bukit Timah,2024,2,16,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,17,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,18,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,19,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,20,11.6,9.2,11.6,11.6,-,-,-,-,-
Bukit Timah,2024,2,21,0.4,0.4,0.4,0.4,-,-,-,-,-
Bukit Timah,2024,2,22,36.6,23.2,32.2,36.6,-,-,-,-,-
Bukit Timah,2024,2,23,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,24,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,25,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,26,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,27,1,0.6,0.8,0.8,-,-,-,-,-
Bukit Timah,2024,2,28,0,0,0,0,-,-,-,-,-
Bukit Timah,2024,2,29,0,0,0,0,-,-,-,-,-
Buona Vista,2024,2,1,0,0,0,0,-,-,-,-,-
Buona Vista,2024,2,2,3.8,1.4,2.4,2.6,-,-,-,-,-
Buona Vista,2024,2,3,12.8,8.2,10.4,12.2,-,-,-,-,-
Buona Vista,2024,2,4,0,0,0.2,0.2,-,-,-,-,-
Buona Vista,2024,2,5,0,0,0,0,-,-,-,-,-
Buona Vista,2024,2,6,0,0,0,0,-,-,-,-,-
Buona Vista,2024,2,7,0.4,0.4,0.4,0.4,-,-,-,-,-
Buona Vista,2024,2,8,0.2,0.2,0.2,0.2,-,-,-,-,-
Buona Vista,2024,2,9,43.8,18.4,23.4,26,-,-,-,-,-
Buona Vista,2024,2,10,18.8,16.8,18.4,18.8,-,-,-,-,-
Buona Vista,2024,2,11,1.6,1.4,7.2,18.8,-,-,-,-,-
Buona Vista,2024,2,12,3,1.6,1.8,2.6,-,-,-,-,-
Buona Vista,2024,2,13,6.6,4.8,5,5.8,-,-,-,-,-
Buona Vista,2024,2,14,1.4,0.6,0.6,0.6,-,-,-,-,-
Buona Vista,2024,2,15,5,3.4,3.6,4.6,-,-,-,-,-
Buona Vista,2024,2,16,0,0,0,0,-,-,-,-,-
Buona Vista,2024,2,17,0,0,0,0,-,-,-,-,-
Buona Vista,2024,2,18,0,0,0,0,-,-,-,-,-
Buona Vista,2024,2,19,4.8,4.8,4.8,4.8,-,-,-,-,-
Buona Vista,2024,2,20,0,0,0,0,-,-,-,-,-
Buona Vista,2024,2,21,0,0,0,0,-,-,-,-,-
Buona Vista,2024,2,22,1.4,1.4,1.4,1.4,-,-,-,-,-
Buona Vista,2024,2,23,25,11.2,15.2,17.6,-,-,-,-,-
Buona Vista,2024,2,24,0,0,0,0,-,-,-,-,-
Buona Vista,2024,2,25,0,0,0,0,-,-,-,-,-
Buona Vista,2024,2,26,0,0,0,0,-,-,-,-,-
Buona Vista,2024,2,27,2.2,1.2,1.2,2.2,-,-,-,-,-
Buona Vista,2024,2,28,0,0,0,0,-,-,-,-,-
Buona Vista,2024,2,29,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,1,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,2,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,3,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,4,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,5,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,6,19.8,11.6,17.2,19.8,-,-,-,-,-
Pasir Ris (Central),2024,2,7,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,8,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,9,10.6,10.6,10.6,10.6,-,-,-,-,-
Pasir Ris (Central),2024,2,10,8,3.4,4.4,6.8,-,-,-,-,-
Pasir Ris (Central),2024,2,11,13.2,9,11,13,-,-,-,-,-
Pasir Ris (Central),2024,2,12,8.4,2.4,3.8,9.8,-,-,-,-,-
Pasir Ris (Central),2024,2,13,19,15.2,17,17.6,-,-,-,-,-
Pasir Ris (Central),2024,2,14,2.2,1.8,1.8,2,-,-,-,-,-
Pasir Ris (Central),2024,2,15,9.4,7.8,7.8,8,-,-,-,-,-
Pasir Ris (Central),2024,2,16,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,17,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,18,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,19,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,20,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,21,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,22,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,23,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,24,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,25,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,26,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,27,3.6,3,3,3,-,-,-,-,-
Pasir Ris (Central),2024,2,28,0,0,0,0,-,-,-,-,-
Pasir Ris (Central),2024,2,29,0,0,0,0,-,-,-,-,-
